region,year,GenDebt,GDPGrowth,GenSpend,Inflation,GovRevenue,PopGrowth,UrbanPopGrowth,Unemp,AgeDepRatio,HealthSpend,MiliSpend,EduSpend,Corruption
Costa Rica,2013,35.08,2.494766112,18.51944215,5.231336142,13.27318206,1.113285467,2.488557064,8.218,11.91492329,7.68229342,,6.687399864,53
Costa Rica,2014,37.44,3.542109878,18.40008237,4.519200985,12.94649602,1.074998653,2.361883508,8.499,12.3224539,7.66376162,,6.67952013,54
Costa Rica,2015,39.79,3.652080968,18.75906593,0.801982005,13.23686603,1.062465205,2.267939167,8.415,12.74749028,7.59196234,,6.87349987,55
Costa Rica,2016,44.06,4.204323252,18.75584124,-0.017478851,13.66178919,1.011052867,2.140465586,8.085,13.18936165,7.31724358,,6.893959999,58
Costa Rica,2017,47.06,4.157698963,19.15675383,1.62590693,13.27775324,0.944345948,2.000052801,7.729,13.65464198,7.04522991,,7.069809914,59
Costa Rica,2018,51.84,2.615904404,18.89518062,2.221114615,13.23489282,0.904494518,1.892470821,9.01,14.15795819,7.28587723,,6.769919872,56
Costa Rica,2019,56.43,2.417511818,21.68644248,2.096046353,15.00221648,0.838278385,1.761648688,10.807,14.6956052,7.22124958,,6.738080025,56
Costa Rica,2020,66.91,-4.273354322,22.2920105,0.724911478,13.91240633,0.692995399,1.557187215,16.432,15.24469348,7.8254571,,6.62898016,57
Croatia,2012,69.24,-2.253745581,47.05158331,3.412073491,41.57681549,-0.474278461,-0.142238819,15.935,27.22855876,7.68,1.66162233,5.221613884,46
Croatia,2013,80.13,-0.125449826,47.78533063,2.216582064,42.23717934,-0.622679128,-0.262993744,17.251,27.69532785,6.43,1.617595434,4.521160126,48
Croatia,2014,83.78,-0.557150197,48.53394372,-0.21519616,43.32804824,-0.766382113,-0.377596261,17.29,28.29455852,6.61,1.816339094,5.176151276,48
Croatia,2015,83.2,2.323175158,47.3225161,-0.464499005,43.79437098,-1.194101859,-0.780126241,16.175,29.0736218,6.69,1.753806728,4.969085217,51
Croatia,2016,79.66,3.461129474,45.58188343,-1.125,44.55558587,-1.086345981,-0.645684488,13.103,29.89212173,6.73,1.593523321,4.896224499,49
Croatia,2017,76.51,3.280958121,43.69183248,1.129372103,44.54508986,-1.606755205,-1.139783187,11.208,30.83822226,6.66,1.636766798,3.862699986,49
Croatia,2018,73.25,2.904681493,44.49809087,1.50012501,44.76918671,-1.310873245,-0.817957433,8.432,31.91268799,6.75,1.546967515,3.912090063,48
Croatia,2019,71.04,3.100439114,43.59216098,0.771820346,45.88813289,-0.992302961,-0.475620011,6.617,32.95160112,6.8,1.603503586,3.920079947,47
Croatia,2020,86.94,-8.311642579,53.27284854,0.154811375,46.03880181,-0.894863744,-0.353033842,7.507,33.91591598,7.72,1.702561337,4.389019966,47
Czech Republic,2012,44.15,-0.770668176,44.35536154,3.287623066,40.48615161,0.139925656,0.156317297,6.979,24.00340311,7.62448311,1.063216817,4.220709801,49
Czech Republic,2013,44.42,-0.041812408,42.38213811,1.438297872,41.10631994,0.033169946,0.160148205,6.953,25.12386976,7.52132368,1.01508372,4.046760082,48
Czech Republic,2014,41.85,2.245212186,42.30833275,0.34398859,40.24811837,0.105277582,0.233456973,6.108,26.16046687,7.61248875,0.966227818,3.965229988,51
Czech Republic,2015,39.7,4.95875849,41.69582913,0.309364548,41.05567012,0.196588748,0.323237456,5.048,27.1604608,7.36897945,0.946582096,5.751820087,56
Czech Republic,2016,36.58,2.580870147,39.3721699,0.683504209,40.07716244,0.192048416,0.318529833,3.952,28.19149936,7.44554329,0.996128103,5.553730011,55
Czech Republic,2017,34.24,5.173565288,38.46379001,2.450533985,39.94530968,0.265642664,0.408265434,2.893,29.22791766,7.38071585,0.956655422,3.806159973,57
Czech Republic,2018,32.06,2.830305894,40.11265624,2.149494949,40.99457739,0.334427262,0.493103393,2.246,30.19185021,7.47048092,1.088449481,4.266059875,59
Czech Republic,2019,30.05,3.565776572,40.3750873,2.847875959,40.658826,0.393788864,0.568457639,2.015,31.10160304,7.60336018,1.15229255,4.542469978,56
Czech Republic,2020,37.66,-5.304879546,46.25317287,3.161295285,40.60461354,0.243222682,0.432440108,2.551,31.85705865,9.2136879,1.322449949,4.721590042,54
Denmark,2012,44.89,-0.005432319,57.9056472,2.397914857,54.70316513,0.376272243,0.588807879,7.798,27.15116539,10.52,1.351818973,7.237820148,90
Denmark,2013,44.05,1.39267347,55.58015371,0.78907178,54.63644555,0.416901361,0.58887049,7.384,27.93893626,10.33,1.227252,8.494429588,91
Denmark,2014,44.27,1.277999794,55.10169866,0.56402054,56.52974202,0.507053283,0.642139402,6.925,28.56241808,10.31,1.149273286,7.634850025,92
Denmark,2015,39.77,2.104414587,54.41812309,0.452034154,53.52309076,0.70642385,0.839047238,6.278,29.05223683,10.34,1.111446012,7.0104146,91
Denmark,2016,37.19,3.073045475,52.35165387,0.25,52.6540539,0.780392644,0.912853069,5.989,29.46765335,10.25,1.147637617,7.691060066,90
Denmark,2017,35.89,3.056477244,50.60136857,1.14713217,52.29036134,0.643350904,0.774461185,5.833,29.90320466,10.1,1.138233254,7.115859985,88
Denmark,2018,34,1.860007489,50.75434291,0.813609467,51.56475787,0.495838926,0.629088603,5.131,30.37199393,10.1,1.277539272,7.296909809,88
Denmark,2019,33.68,1.711400944,49.80736982,0.758131573,54.09029287,0.358130916,0.494581335,5.018,30.87270537,10.15,1.295092381,7.255050182,87
Denmark,2020,42.28,-1.780105988,53.33960861,0.420711974,53.70215637,0.291641177,0.430201638,5.637,31.40202376,10.56,1.377131121,7.383540154,88
Estonia,2012,9.84,3.672021159,38.87693403,3.933399873,38.12895388,-0.357944411,-0.344754608,10.021,26.84290712,6.09506845,1.897672784,4.717720032,64
Estonia,2013,10.23,1.756494612,37.91792928,2.78056659,37.64926304,-0.355891803,-0.138346707,8.631,27.54718585,6.28062296,1.908963649,4.843880177,68
Estonia,2014,10.62,3.322787536,37.17596062,-0.106175147,37.42647992,-0.262256175,-0.046678138,7.352,28.31433658,6.36199903,1.925357386,4.394330025,69
Estonia,2015,10.07,1.838157048,38.8108262,-0.492326007,38.43041023,0.06555253,0.280631504,6.412,29.01637181,6.64135027,2.026041742,5.144189835,70
Estonia,2016,10,3.093015834,38.61424781,0.148684908,37.67833878,0.029112226,0.243716597,6.882,29.67096641,6.70240974,2.069164366,5.15763998,70
Estonia,2017,9.12,5.634674322,38.45759996,3.417235495,37.4516803,0.121070631,0.345466679,5.807,30.29620372,6.59727097,2.009766509,4.961319923,71
Estonia,2018,8.2,3.69969444,38.51923409,3.436326884,37.40756038,0.348039138,0.58496349,5.412,30.76181634,6.6912818,2.00908712,5.239970207,73
Estonia,2019,8.49,3.726653182,38.41555546,2.277259312,38.53291978,0.371554389,0.61944107,4.514,31.25023674,6.81699181,2.035703972,5.260419846,74
Estonia,2020,18.57,-2.883810041,44.18561404,-0.444531098,38.83685176,0.197559185,0.455068188,6.956,31.88070835,7.57906532,2.296756834,5.52696991,75
